text,label
Babam bana tokat attı.,fiziksel
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Bugün parkta çok eğlendim.,normal
Vurunca duvara çarptım.,fiziksel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Kıyafetimi çıkarmamı istedi.,cinsel
Kitap okudum ve çok sevdim.,normal
Babamla sinemaya gittik.,normal
Anneme bir şey söyledim ama bağırdı.,duygusal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Korkuyorum çünkü bağırıyorlar.,duygusal
Bugün yine beni aşağıladılar.,duygusal
Kıyafetimi çıkarmamı istedi.,cinsel
Ağabeyim beni yere itti.,fiziksel
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Babamla sinemaya gittik.,normal
Sınıfta biri beni itip yere düşürdü.,fiziksel
Bugün parkta çok eğlendim.,normal
Yeni kalem kutumu çok sevdim.,normal
Zorla beni öpmeye çalıştı.,cinsel
Vurunca duvara çarptım.,fiziksel
Çok hastaydım ama doktora gitmedik.,ihmal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Beni sürekli eleştiriyor.,duygusal
Bana 'aptal' dedi.,duygusal
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
"Okulda resim yaptım, öğretmenim beğendi.",normal
Kimse bana yemek yapmadı.,ihmal
Pikniğe gittik ve top oynadık.,normal
Gizli bir şekilde odama geldi.,cinsel
Odam çok kirli ama yardım eden yok.,ihmal
Pikniğe gittik ve top oynadık.,normal
Saçımı çekti ve bağırdı.,fiziksel
Yeni kalem kutumu çok sevdim.,normal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
"Yüzme kursuna gittim, eğlenceliydi.",normal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Odam çok kirli ama yardım eden yok.,ihmal
Arkadaşlarımla oyun oynadım.,normal
Beni sürekli eleştiriyor.,duygusal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Kimse bana yemek yapmadı.,ihmal
Karnım aç ama evde kimse yok.,ihmal
Bugün parkta çok eğlendim.,normal
Beni kimse sevmiyor gibi hissediyorum.,duygusal
Vurunca duvara çarptım.,fiziksel
Babam bana tokat attı.,fiziksel
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Bugün parkta çok eğlendim.,normal
Yeni kalem kutumu çok sevdim.,normal
Yeni kalem kutumu çok sevdim.,normal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Vurunca duvara çarptım.,fiziksel
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Herkes bana kötü davranıyor.,duygusal
Beni rahatsız eden sorular sordu.,cinsel
Kardeşimle lego oynadım.,normal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Gizli bir şekilde odama geldi.,cinsel
Biri bana dokundu ve çok korktum.,cinsel
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Bana 'aptal' dedi.,duygusal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Öğretmenim bana vurdu.,fiziksel
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Annemle birlikte kek yaptık.,normal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Herkes bana kötü davranıyor.,duygusal
Beni rahatsız eden sorular sordu.,cinsel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Yeni kalem kutumu çok sevdim.,normal
"Yüzme kursuna gittim, eğlenceliydi.",normal
Bugün yine beni aşağıladılar.,duygusal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Babam bana tokat attı.,fiziksel
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Biri bana dokundu ve çok korktum.,cinsel
"Okulda resim yaptım, öğretmenim beğendi.",normal
Kardeşimle lego oynadım.,normal
Zorla beni öpmeye çalıştı.,cinsel
Pikniğe gittik ve top oynadık.,normal
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Gizli bir şekilde odama geldi.,cinsel
Dizim kanadı çünkü biri beni dövdü.,fiziksel
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Herkes bana kötü davranıyor.,duygusal
Yeni kalem kutumu çok sevdim.,normal
Annemle birlikte kek yaptık.,normal
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Arkadaşlarımla oyun oynadım.,normal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Bana 'aptal' dedi.,duygusal
Pikniğe gittik ve top oynadık.,normal
Zorla beni öpmeye çalıştı.,cinsel
Beni kimse sevmiyor gibi hissediyorum.,duygusal
Bana kötü yerlerinden bahsetti.,cinsel
Odam çok kirli ama yardım eden yok.,ihmal
Babamla sinemaya gittik.,normal
Sınıfta biri beni itip yere düşürdü.,fiziksel
Beni rahatsız eden sorular sordu.,cinsel
Bana 'aptal' dedi.,duygusal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Bugün bütün gün evde yalnızdım.,ihmal
Arkadaşlarımla oyun oynadım.,normal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Odam çok kirli ama yardım eden yok.,ihmal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Ağabeyim beni yere itti.,fiziksel
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Babamla sinemaya gittik.,normal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Kimse bana yemek yapmadı.,ihmal
Kardeşimle lego oynadım.,normal
Babamla sinemaya gittik.,normal
Vurunca duvara çarptım.,fiziksel
Birisi bana garip şeyler gösterdi.,cinsel
Bir yetişkin beni sertçe itti.,fiziksel
Beni okuldan almayı unuttular.,ihmal
Herkes bana kötü davranıyor.,duygusal
Biri bana dokundu ve çok korktum.,cinsel
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Vurunca duvara çarptım.,fiziksel
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Bana 'aptal' dedi.,duygusal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Babam bana tokat attı.,fiziksel
Karnım aç ama evde kimse yok.,ihmal
Bana hiç sarılmıyorlar.,ihmal
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
"Yüzme kursuna gittim, eğlenceliydi.",normal
Herkes bana kötü davranıyor.,duygusal
Bana 'aptal' dedi.,duygusal
Herkes bana kötü davranıyor.,duygusal
Bugün yine beni aşağıladılar.,duygusal
Bugün parkta çok eğlendim.,normal
Bugün parkta çok eğlendim.,normal
"Yüzme kursuna gittim, eğlenceliydi.",normal
Kitap okudum ve çok sevdim.,normal
Bana 'aptal' dedi.,duygusal
Bana kötü yerlerinden bahsetti.,cinsel
Kıyafetimi çıkarmamı istedi.,cinsel
Zorla beni öpmeye çalıştı.,cinsel
Beni okuldan almayı unuttular.,ihmal
Zorla beni öpmeye çalıştı.,cinsel
Beni sürekli eleştiriyor.,duygusal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Saçımı çekti ve bağırdı.,fiziksel
Babamla sinemaya gittik.,normal
Anneme bir şey söyledim ama bağırdı.,duygusal
Saçımı çekti ve bağırdı.,fiziksel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Bugün parkta çok eğlendim.,normal
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Beni okuldan almayı unuttular.,ihmal
Kimse bana yemek yapmadı.,ihmal
Beni rahatsız eden sorular sordu.,cinsel
"Yüzme kursuna gittim, eğlenceliydi.",normal
Vurunca duvara çarptım.,fiziksel
Karnım aç ama evde kimse yok.,ihmal
Yeni kalem kutumu çok sevdim.,normal
Pikniğe gittik ve top oynadık.,normal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Herkes bana kötü davranıyor.,duygusal
Herkes bana kötü davranıyor.,duygusal
Arkadaşlarımla oyun oynadım.,normal
Beni rahatsız eden sorular sordu.,cinsel
"Yüzme kursuna gittim, eğlenceliydi.",normal
Odam çok kirli ama yardım eden yok.,ihmal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Kıyafetimi çıkarmamı istedi.,cinsel
Bugün yine beni aşağıladılar.,duygusal
Bana 'aptal' dedi.,duygusal
Saçımı çekti ve bağırdı.,fiziksel
Yeni kalem kutumu çok sevdim.,normal
Annemle birlikte kek yaptık.,normal
Bana 'aptal' dedi.,duygusal
Bana kötü yerlerinden bahsetti.,cinsel
Biri bana dokundu ve çok korktum.,cinsel
Pikniğe gittik ve top oynadık.,normal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Babam bana tokat attı.,fiziksel
Kardeşimle lego oynadım.,normal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Zorla beni öpmeye çalıştı.,cinsel
Bana kötü yerlerinden bahsetti.,cinsel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Beni sürekli eleştiriyor.,duygusal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Vurunca duvara çarptım.,fiziksel
Beni kimse sevmiyor gibi hissediyorum.,duygusal
Kitap okudum ve çok sevdim.,normal
Bugün parkta çok eğlendim.,normal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Odam çok kirli ama yardım eden yok.,ihmal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Annemle birlikte kek yaptık.,normal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Korkuyorum çünkü bağırıyorlar.,duygusal
Kıyafetimi çıkarmamı istedi.,cinsel
Beni okuldan almayı unuttular.,ihmal
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Beni rahatsız eden sorular sordu.,cinsel
Gizli bir şekilde odama geldi.,cinsel
Öğretmenim bana vurdu.,fiziksel
Kıyafetimi çıkarmamı istedi.,cinsel
Beni rahatsız eden sorular sordu.,cinsel
Bir yetişkin beni sertçe itti.,fiziksel
Ağabeyim beni yere itti.,fiziksel
Ağabeyim beni yere itti.,fiziksel
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Kitap okudum ve çok sevdim.,normal
Zorla beni öpmeye çalıştı.,cinsel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Bana 'aptal' dedi.,duygusal
Çok hastaydım ama doktora gitmedik.,ihmal
Beni okuldan almayı unuttular.,ihmal
Babam bana tokat attı.,fiziksel
Yeni kalem kutumu çok sevdim.,normal
Arkadaşlarımla oyun oynadım.,normal
Vurunca duvara çarptım.,fiziksel
Babamla sinemaya gittik.,normal
Bugün parkta çok eğlendim.,normal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Odam çok kirli ama yardım eden yok.,ihmal
Vurunca duvara çarptım.,fiziksel
Çok hastaydım ama doktora gitmedik.,ihmal
Kitap okudum ve çok sevdim.,normal
Pikniğe gittik ve top oynadık.,normal
Zorla beni öpmeye çalıştı.,cinsel
Kendimi çok değersiz hissediyorum.,duygusal
"Yüzme kursuna gittim, eğlenceliydi.",normal
Bana hiç sarılmıyorlar.,ihmal
Anneme bir şey söyledim ama bağırdı.,duygusal
Anneme bir şey söyledim ama bağırdı.,duygusal
Karnım aç ama evde kimse yok.,ihmal
Bana hiç sarılmıyorlar.,ihmal
Korkuyorum çünkü bağırıyorlar.,duygusal
Kimse bana yemek yapmadı.,ihmal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Herkes bana kötü davranıyor.,duygusal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Kimse bana yemek yapmadı.,ihmal
Beni rahatsız eden sorular sordu.,cinsel
Babam bana tokat attı.,fiziksel
Gizli bir şekilde odama geldi.,cinsel
Bana kötü yerlerinden bahsetti.,cinsel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Bugün parkta çok eğlendim.,normal
Bana 'aptal' dedi.,duygusal
Beni sürekli eleştiriyor.,duygusal
Beni sürekli eleştiriyor.,duygusal
Saçımı çekti ve bağırdı.,fiziksel
Kimse bana yemek yapmadı.,ihmal
"Yüzme kursuna gittim, eğlenceliydi.",normal
Çok hastaydım ama doktora gitmedik.,ihmal
Odam çok kirli ama yardım eden yok.,ihmal
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Kimse bana yemek yapmadı.,ihmal
Kimse bana yemek yapmadı.,ihmal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Birisi bana garip şeyler gösterdi.,cinsel
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Babam bana tokat attı.,fiziksel
Yeni kalem kutumu çok sevdim.,normal
Beni okuldan almayı unuttular.,ihmal
Beni sürekli eleştiriyor.,duygusal
Anneme bir şey söyledim ama bağırdı.,duygusal
Annemle birlikte kek yaptık.,normal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Beni kimse sevmiyor gibi hissediyorum.,duygusal
Beni okuldan almayı unuttular.,ihmal
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Kardeşimle lego oynadım.,normal
Kimse bana yemek yapmadı.,ihmal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Yeni kalem kutumu çok sevdim.,normal
Bugün bütün gün evde yalnızdım.,ihmal
Pikniğe gittik ve top oynadık.,normal
Korkuyorum çünkü bağırıyorlar.,duygusal
Arkadaşlarımla oyun oynadım.,normal
Biri bana dokundu ve çok korktum.,cinsel
Çok hastaydım ama doktora gitmedik.,ihmal
Herkes bana kötü davranıyor.,duygusal
Saçımı çekti ve bağırdı.,fiziksel
Beni rahatsız eden sorular sordu.,cinsel
Biri bana dokundu ve çok korktum.,cinsel
Saçımı çekti ve bağırdı.,fiziksel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Herkes bana kötü davranıyor.,duygusal
Zorla beni öpmeye çalıştı.,cinsel
Yeni kalem kutumu çok sevdim.,normal
Korkuyorum çünkü bağırıyorlar.,duygusal
Annemle birlikte kek yaptık.,normal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Saçımı çekti ve bağırdı.,fiziksel
Birisi bana garip şeyler gösterdi.,cinsel
Bana 'aptal' dedi.,duygusal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Arkadaşlarımla oyun oynadım.,normal
Bana 'aptal' dedi.,duygusal
Sınıfta biri beni itip yere düşürdü.,fiziksel
Bugün parkta çok eğlendim.,normal
Beni rahatsız eden sorular sordu.,cinsel
Beni okuldan almayı unuttular.,ihmal
Biri bana dokundu ve çok korktum.,cinsel
Bana hiç sarılmıyorlar.,ihmal
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
"Yüzme kursuna gittim, eğlenceliydi.",normal
Anneme bir şey söyledim ama bağırdı.,duygusal
Pikniğe gittik ve top oynadık.,normal
Anneme bir şey söyledim ama bağırdı.,duygusal
Karnım aç ama evde kimse yok.,ihmal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Saçımı çekti ve bağırdı.,fiziksel
Kıyafetimi çıkarmamı istedi.,cinsel
Beni sürekli eleştiriyor.,duygusal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Kendimi çok değersiz hissediyorum.,duygusal
Kimse bana yemek yapmadı.,ihmal
Bana hiç sarılmıyorlar.,ihmal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Anneme bir şey söyledim ama bağırdı.,duygusal
Bana 'aptal' dedi.,duygusal
Beni kimse sevmiyor gibi hissediyorum.,duygusal
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Beni rahatsız eden sorular sordu.,cinsel
Beni sürekli eleştiriyor.,duygusal
Kimse bana yemek yapmadı.,ihmal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Bugün parkta çok eğlendim.,normal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Bana kötü yerlerinden bahsetti.,cinsel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Bir yetişkin beni sertçe itti.,fiziksel
Yeni kalem kutumu çok sevdim.,normal
Kendimi çok değersiz hissediyorum.,duygusal
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Anneme bir şey söyledim ama bağırdı.,duygusal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Bana hiç sarılmıyorlar.,ihmal
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Bugün bütün gün evde yalnızdım.,ihmal
Kardeşimle lego oynadım.,normal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Bana hiç sarılmıyorlar.,ihmal
Beni rahatsız eden sorular sordu.,cinsel
Odam çok kirli ama yardım eden yok.,ihmal
Saçımı çekti ve bağırdı.,fiziksel
Yeni kalem kutumu çok sevdim.,normal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Kendimi çok değersiz hissediyorum.,duygusal
Beni okuldan almayı unuttular.,ihmal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Saçımı çekti ve bağırdı.,fiziksel
Karnım aç ama evde kimse yok.,ihmal
Çok hastaydım ama doktora gitmedik.,ihmal
Yeni kalem kutumu çok sevdim.,normal
Saçımı çekti ve bağırdı.,fiziksel
Bugün parkta çok eğlendim.,normal
Kıyafetimi çıkarmamı istedi.,cinsel
Arkadaşlarımla oyun oynadım.,normal
Biri bana dokundu ve çok korktum.,cinsel
Beni sürekli eleştiriyor.,duygusal
Kimse bana yemek yapmadı.,ihmal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Beni okuldan almayı unuttular.,ihmal
Annemle birlikte kek yaptık.,normal
Kimse bana yemek yapmadı.,ihmal
Arkadaşlarımla oyun oynadım.,normal
Birisi bana garip şeyler gösterdi.,cinsel
Biri bana dokundu ve çok korktum.,cinsel
Kitap okudum ve çok sevdim.,normal
Çok hastaydım ama doktora gitmedik.,ihmal
Gizli bir şekilde odama geldi.,cinsel
"Onunla konuşmamı istemiyorum, kötü hissediyorum.",cinsel
Ağabeyim beni yere itti.,fiziksel
Çok hastaydım ama doktora gitmedik.,ihmal
Bir yetişkin beni sertçe itti.,fiziksel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Ağabeyim beni yere itti.,fiziksel
Annemle birlikte kek yaptık.,normal
Biri bana dokundu ve çok korktum.,cinsel
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Biri bana dokundu ve çok korktum.,cinsel
Odam çok kirli ama yardım eden yok.,ihmal
Bir yetişkin beni sertçe itti.,fiziksel
Anneme bir şey söyledim ama bağırdı.,duygusal
Zorla beni öpmeye çalıştı.,cinsel
Kardeşimle lego oynadım.,normal
Babamla sinemaya gittik.,normal
Bana 'aptal' dedi.,duygusal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Zorla beni öpmeye çalıştı.,cinsel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Kimse bana yemek yapmadı.,ihmal
Kıyafetimi çıkarmamı istedi.,cinsel
Bana kötü yerlerinden bahsetti.,cinsel
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Vurunca duvara çarptım.,fiziksel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Vurunca duvara çarptım.,fiziksel
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Çok hastaydım ama doktora gitmedik.,ihmal
Bugün parkta çok eğlendim.,normal
Biri bana dokundu ve çok korktum.,cinsel
Odam çok kirli ama yardım eden yok.,ihmal
Bugün parkta çok eğlendim.,normal
Beni okuldan almayı unuttular.,ihmal
Bana 'aptal' dedi.,duygusal
Birisi bana garip şeyler gösterdi.,cinsel
Beni kimse sevmiyor gibi hissediyorum.,duygusal
Karnım aç ama evde kimse yok.,ihmal
Sınıfta biri beni itip yere düşürdü.,fiziksel
Bugün yine beni aşağıladılar.,duygusal
Vurunca duvara çarptım.,fiziksel
Sınıfta biri beni itip yere düşürdü.,fiziksel
Sınıfta biri beni itip yere düşürdü.,fiziksel
Kitap okudum ve çok sevdim.,normal
Babam bana tokat attı.,fiziksel
Sınıfta biri beni itip yere düşürdü.,fiziksel
Bugün bütün gün evde yalnızdım.,ihmal
Babam bana tokat attı.,fiziksel
Bana 'aptal' dedi.,duygusal
Biri bana dokundu ve çok korktum.,cinsel
Korkuyorum çünkü bağırıyorlar.,duygusal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Zorla beni öpmeye çalıştı.,cinsel
Babam bana tokat attı.,fiziksel
Bana kötü yerlerinden bahsetti.,cinsel
Odam çok kirli ama yardım eden yok.,ihmal
Bugün parkta çok eğlendim.,normal
Bir yetişkin beni sertçe itti.,fiziksel
Kıyafetimi çıkarmamı istedi.,cinsel
Kardeşimle lego oynadım.,normal
Bugün bütün gün evde yalnızdım.,ihmal
Annemle birlikte kek yaptık.,normal
Yeni kalem kutumu çok sevdim.,normal
Kendimi çok değersiz hissediyorum.,duygusal
Dizim kanadı çünkü biri beni dövdü.,fiziksel
Kıyafetimi çıkarmamı istedi.,cinsel
Biri bana dokundu ve çok korktum.,cinsel
Biri bana dokundu ve çok korktum.,cinsel
Bugün bütün gün evde yalnızdım.,ihmal
Arkadaşlarımla oyun oynadım.,normal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Saçımı çekti ve bağırdı.,fiziksel
Pikniğe gittik ve top oynadık.,normal
Beni okuldan almayı unuttular.,ihmal
Beni rahatsız eden sorular sordu.,cinsel
Odam çok kirli ama yardım eden yok.,ihmal
Bana 'aptal' dedi.,duygusal
Kimse bana yemek yapmadı.,ihmal
Oyun oynamak bahanesiyle bana dokundu.,cinsel
Gizli bir şekilde odama geldi.,cinsel
Babam bana tokat attı.,fiziksel
Vurunca duvara çarptım.,fiziksel
Kardeşimle lego oynadım.,normal
"Okulda resim yaptım, öğretmenim beğendi.",normal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Bugün yine beni aşağıladılar.,duygusal
Sınıfta biri beni itip yere düşürdü.,fiziksel
Gizlice fotoğraf çekmeye çalıştı.,cinsel
Saçımı çekti ve bağırdı.,fiziksel
Annemle birlikte kek yaptık.,normal
Biri bana dokundu ve çok korktum.,cinsel
Bana hiç sarılmıyorlar.,ihmal
Beni okuldan almayı unuttular.,ihmal
Anneme bir şey söyledim ama bağırdı.,duygusal
Beni sürekli eleştiriyor.,duygusal
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Bugün parkta çok eğlendim.,normal
"Yüzme kursuna gittim, eğlenceliydi.",normal
Bugün parkta çok eğlendim.,normal
Beni sürekli eleştiriyor.,duygusal
Çok hastaydım ama doktora gitmedik.,ihmal
Babamla sinemaya gittik.,normal
Herkes bana kötü davranıyor.,duygusal
Kardeşimle lego oynadım.,normal
Birisi bana garip şeyler gösterdi.,cinsel
Herkes bana kötü davranıyor.,duygusal
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Biri bana dokundu ve çok korktum.,cinsel
Herkes bana kötü davranıyor.,duygusal
Beni sürekli eleştiriyor.,duygusal
Bugün yine beni aşağıladılar.,duygusal
Yeni kalem kutumu çok sevdim.,normal
Çok hastaydım ama doktora gitmedik.,ihmal
Vurunca duvara çarptım.,fiziksel
Pikniğe gittik ve top oynadık.,normal
Kardeşimle lego oynadım.,normal
Korkuyorum çünkü bağırıyorlar.,duygusal
Zorla beni öpmeye çalıştı.,cinsel
Anneme bir şey söyledim ama bağırdı.,duygusal
Beni rahatsız eden sorular sordu.,cinsel
"Çok üzgünüm, bana kötü sözler söylüyorlar.",duygusal
Karnım aç ama evde kimse yok.,ihmal
Birisi bana garip şeyler gösterdi.,cinsel
Kardeşimle lego oynadım.,normal
Bugün parkta çok eğlendim.,normal
"Yüzme kursuna gittim, eğlenceliydi.",normal
Korkuyorum çünkü bağırıyorlar.,duygusal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Beni okuldan almayı unuttular.,ihmal
Babamla sinemaya gittik.,normal
Babam bana tokat attı.,fiziksel
Babam bana tokat attı.,fiziksel
Babam bana tokat attı.,fiziksel
Beni rahatsız eden sorular sordu.,cinsel
"Okulda resim yaptım, öğretmenim beğendi.",normal
Sınıfta biri beni itip yere düşürdü.,fiziksel
Annemle birlikte kek yaptık.,normal
Korkuyorum çünkü bağırıyorlar.,duygusal
Birisi bana garip şeyler gösterdi.,cinsel
Babamla sinemaya gittik.,normal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Vurunca duvara çarptım.,fiziksel
Saçımı çekti ve bağırdı.,fiziksel
Beni rahatsız eden sorular sordu.,cinsel
Zorla beni öpmeye çalıştı.,cinsel
Bana kötü yerlerinden bahsetti.,cinsel
Vurunca duvara çarptım.,fiziksel
Pikniğe gittik ve top oynadık.,normal
Birisi bana garip şeyler gösterdi.,cinsel
"Bütün gün televizyon izledim, kimse benimle konuşmadı.",ihmal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Yeni kalem kutumu çok sevdim.,normal
Zorla beni öpmeye çalıştı.,cinsel
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Çok hastaydım ama doktora gitmedik.,ihmal
Kıyafetimi çıkarmamı istedi.,cinsel
Kıyafetimi çıkarmamı istedi.,cinsel
Pikniğe gittik ve top oynadık.,normal
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Dün akşam yatmadan önce kimse iyi geceler demedi.,ihmal
Kardeşimle lego oynadım.,normal
Arkadaşlarımla oyun oynadım.,normal
Bugün parkta çok eğlendim.,normal
Öğretmenim bana vurdu.,fiziksel
Karnım çok acıyor çünkü biri bana vurdu.,fiziksel
Karnım aç ama evde kimse yok.,ihmal
Korkuyorum çünkü bağırıyorlar.,duygusal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Beni okuldan almayı unuttular.,ihmal
"Okulda resim yaptım, öğretmenim beğendi.",normal
Karnım aç ama evde kimse yok.,ihmal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Kitap okudum ve çok sevdim.,normal
Kitap okudum ve çok sevdim.,normal
"Kolum morardı, biri beni sıkıca tuttu.",fiziksel
Karnım aç ama evde kimse yok.,ihmal
Üşüyorum ama kimse ilgilenmiyor.,ihmal
Ağabeyim beni yere itti.,fiziksel
Hiçbir şeyi doğru yapamıyorum diyorlar.,duygusal
Babamla sinemaya gittik.,normal
Anneme bir şey söyledim ama bağırdı.,duygusal
